date,trucks_count,latitude,longitude,beetloader_A,beetloader_B,beetloader_C,beetloader_beet_count,trucks_A,trucks_B,trucks_C,time_start,time_end,difference_A,difference_B,difference_C,t_stat_A,p_value_A,t_stat_B,p_value_B,t_stat_C,p_value_C
2022-10-20,9,51.009888,6.036406,3.02,0.52,4.48,2821.0,2.9,0.0,4.0,2022-10-20 04:33:07.007,2022-10-20 04:49:27.294,0.1200000000000001,0.52,0.4800000000000004,-8.607101241464665,2.5697903543685524e-05,-11.014049135105376,4.109036634952051e-06,1.0357405740985983,0.3306137715707996
2022-10-20,5,51.011807,6.025018,2.98,0.55,4.44,4787.0,2.9,0.0,4.25,2022-10-20 05:09:37.366,2022-10-20 06:11:07.609,0.08000000000000007,0.55,0.1900000000000004,-8.607101241464665,2.5697903543685524e-05,-11.014049135105376,4.109036634952051e-06,1.0357405740985983,0.3306137715707996
2022-10-20,18,51.005714,6.043033,2.97,0.42,3.92,5179.0,2.9,0.0,4.764444444444445,2022-10-20 11:57:06.162,2022-10-20 12:57:05.219,0.07000000000000028,0.42,-0.844444444444445,-8.607101241464665,2.5697903543685524e-05,-11.014049135105376,4.109036634952051e-06,1.0357405740985983,0.3306137715707996
2022-12-06,4,51.017178,6.018067,3.03,0.7,3.88,1717.0,2.9,0.0,6.0,2022-12-06 19:18:16.293,2022-12-06 19:43:36.823,0.1299999999999999,0.7,-2.12,-8.607101241464665,2.5697903543685524e-05,-11.014049135105376,4.109036634952051e-06,1.0357405740985983,0.3306137715707996
2022-12-07,2,51.017178,6.018067,3.02,0.68,4.24,800.0,2.9,0.0,4.0,2022-12-07 04:46:18.074,2022-12-07 04:59:08.227,0.1200000000000001,0.68,0.2400000000000002,-8.607101241464665,2.5697903543685524e-05,-11.014049135105376,4.109036634952051e-06,1.0357405740985983,0.3306137715707996
